Country,Clicks,Impressions,CTR,Position
United Kingdom,9,142,6.34%,14.82
United States,2,6,33.33%,4
Belgium,1,2,50%,1
Netherlands,0,2,0%,1
Australia,0,1,0%,7
Spain,0,1,0%,8
